movie_id,genre
tt1334514,Comedy
tt1338635,Horror
tt1362141,Comedy
tt1362141,Drama
tt1365519,Action
tt1365519,Adventure
tt1365519,Fantasy
tt1366338,Adventure
tt1366338,Crime
tt1366338,Drama
tt1380151,Drama
tt1380151,Horror
tt1380151,Mystery
tt1386583,Horror
tt1386583,Sci-Fi
tt1386583,Thriller
tt1386691,Crime
tt1386691,Drama
tt1386691,Mystery
tt1389072,Drama
tt1389072,Sci-Fi
tt1389098,Drama
tt1396484,Horror
tt1401621,Drama
tt1401621,Fantasy
tt1412528,Comedy
tt1412528,Drama
tt1412528,Romance
tt1413492,Action
tt1413492,Drama
tt1431347,Drama
tt1454700,Drama
tt1454700,Thriller
tt1458169,Crime
tt1458169,Drama
tt1458169,Thriller
tt1464763,Mystery
tt1464763,Sci-Fi
tt1464763,Thriller
tt1469304,Action
tt1469304,Comedy
tt1469304,Crime
tt1477834,Action
tt1477834,Adventure
tt1477834,Fantasy
tt1478839,Comedy
tt1478839,Drama
tt1478839,Romance
tt1485796,Drama
tt1488606,Action
tt1488606,Adventure
tt1488606,Crime
tt1489887,Comedy
tt1492705,Comedy
tt1492705,Drama
tt1492705,Romance
tt1502407,Horror
tt1502407,Thriller
tt1507002,Drama
tt1507571,Drama
tt1517451,Drama
tt1517451,Romance
tt1517471,Comedy
tt1517471,Drama
tt1525916,Comedy
tt1525916,Drama
tt1536537,Action
tt1536537,Crime
tt1536537,Drama
tt1542484,Comedy
tt1544608,Drama
tt1544608,Mystery
tt1544608,Thriller
tt1553659,Adventure
tt1553659,Drama
tt1553659,Romance
tt1558259,Horror
tt1558259,Sci-Fi
tt1558259,Thriller
tt1560220,Action
tt1560220,Comedy
tt1560220,Horror
tt1563742,Comedy
tt1563742,Romance
tt1564777,Adventure
tt1564777,Drama
tt1564777,Fantasy
tt1571234,Action
tt1571234,Adventure
tt1571234,Fantasy
tt1590193,Action
tt1590193,Mystery
tt1590193,Thriller
tt1604064,Action
tt1604064,Comedy
tt1604064,Horror
tt1604560,Horror
tt1610525,Drama
tt1615160,Action
tt1615160,Thriller
tt1618434,Action
tt1618434,Comedy
tt1618434,Crime
tt1619029,Drama
tt1620680,Adventure
tt1620680,Family
